# idA idB nx ny nz Fn uN cellDistX cellDistY cellDistZ
3 5363 0.491836 -0.869002 0.0541633 -0.0161161 -1.32888e-06 0 0 0
3783 36 0.137371 -0.988595 0.0617248 -0.0183212 -1.31337e-06 0 0 0
3783 2291 0.416339 0.570963 -0.707576 -0.0116423 -9.56611e-07 0 0 0
878 3801 0.287168 -0.859314 0.423218 -0.0122481 -8.17524e-07 0 0 0
878 3066 0.881192 0.425049 0.206964 -0.00929703 -6.0421e-07 0 0 0
4406 4905 0.120097 0.265938 0.95648 -0.00058888 -4.77183e-08 0 0 0
2397 1672 0.080561 0.969039 -0.233396 -0.000104213 -7.57348e-09 -1 0 0
2397 1744 0.534123 -0.522017 -0.664989 -0.0131761 -1.05821e-06 0 0 0
2896 3765 -0.00466255 0.664426 0.747339 -0.0117184 -1.04855e-06 0 0 0
2896 3824 0.561653 -0.60525 -0.564108 -0.0116687 -7.94231e-07 0 0 0
2896 2929 0.942612 -0.152309 0.297128 -0.000572001 -3.60196e-08 1 0 0
959 2741 0.470021 0.877911 -0.0913901 -0.000912842 -8.61062e-08 0 0 0
959 2550 0.909132 -0.10334 0.403485 -0.00141603 -1.14934e-07 0 0 0
4905 4814 0.595496 0.610697 -0.521951 -0.0370901 -2.53601e-06 1 0 0
4905 1507 0.595251 -0.450001 0.665715 -0.018362 -1.25699e-06 1 -1 0
517 4143 0.347527 -0.0847899 -0.933828 -2.63609e-05 -2.22819e-09 0 0 0
517 1720 0.526762 -0.651848 0.545542 -0.000869246 -7.5871e-08 0 0 0
517 1495 0.649424 0.669108 -0.361308 -0.00175391 -1.24861e-07 0 0 0
4747 4998 0.286121 0.282777 0.915517 -0.0121399 -1.00122e-06 0 0 0
4747 3395 0.265671 0.202759 -0.942501 -0.00723417 -5.77837e-07 0 0 0
4747 1226 0.504024 -0.844796 -0.179663 -0.00304325 -2.4206e-07 0 0 0
5219 4944 0.386772 0.113153 -0.915207 -0.0202043 -1.19621e-06 1 0 0
5219 1075 0.757985 -0.412366 0.505384 -0.00445493 -2.84773e-07 1 0 0
498 2334 0.167262 -0.0540537 -0.98443 -0.00870418 -8.07631e-07 0 0 0
498 4618 0.25794 -0.67374 0.69249 -0.00286055 -2.0188e-07 0 0 0
498 2132 0.377523 0.364503 0.851243 -0.00781081 -4.711e-07 0 0 0
