# idA idB nx ny nz Fn uN cellDistX cellDistY cellDistZ
1119 4998 0.123255 0.574462 -0.809198 -0.0170263 -1.03048e-06 0 0 0
3 5363 0.473122 -0.880957 0.00839916 -0.0208617 -1.72018e-06 0 0 0
3783 36 0.112237 -0.99367 0.0047261 -0.0189985 -1.36193e-06 0 0 0
1119 5356 0.0575877 0.373358 0.925898 -0.0262829 -1.95031e-06 0 0 0
1119 1753 0.144588 -0.855325 -0.497507 -0.00148603 -8.11397e-08 0 0 0
3783 2291 0.389182 0.573808 -0.720612 -0.00308814 -2.53743e-07 0 0 0
2277 2110 0.837702 -0.53549 0.107261 -0.00982771 -7.83917e-07 0 0 0
3783 2299 0.982767 0.183408 0.0230225 -0.0106825 -8.63023e-07 1 0 0
2277 4716 0.462467 0.872465 0.157892 -0.00797059 -5.92677e-07 0 0 0
878 3801 0.268919 -0.876262 0.39981 -0.00271437 -1.81521e-07 0 0 0
1314 262 0.972831 0.209522 -0.0984896 -0.00990086 -8.79268e-07 0 0 0
878 3066 0.892534 0.421852 0.159447 -0.0102774 -6.67925e-07 0 0 0
2266 5098 0.381442 -0.919985 0.0901616 -0.00405539 -3.00211e-07 0 0 0
1314 4406 0.0781453 -0.832175 0.548979 -0.0114851 -9.55462e-07 0 0 0
1965 3622 0.816222 0.3695 0.44413 -0.00725543 -6.02906e-07 0 0 0
3109 2042 0.682451 0.644037 0.345654 -0.00675081 -4.22121e-07 0 0 0
3109 3390 0.348143 -0.26035 -0.900563 -0.0146383 -9.10112e-07 0 0 0
2938 3911 -0.0316413 0.146553 -0.988697 -0.004001 -3.36764e-07 0 0 0
252 3316 -0.052294 -0.823176 -0.565373 -0.00219796 -1.62271e-07 0 0 0
1686 4585 0.624239 -0.704105 -0.33847 -0.00366226 -3.48957e-07 0 0 0
4072 2169 0.809148 0.549776 0.207426 -0.00499168 -4.64722e-07 0 0 0
3281 4426 0.128648 -0.991549 -0.0167127 -0.00154261 -1.09923e-07 0 0 0
