# **S.energy	elast	eps_norm	eps_x	eps_y	eps_z	gradVWork	i	kinetic	nonviscDamp	plast	q	sigM	sig_norm	sig_x	sig_y	sig_z	step	t	unbE	unbF
nan	5.96840273701e-05	0.0	0.0	0.0	0.0	0.0	0	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	-1	0.0	nan	nan
nan	5.34729311515e-05	0.000110423016688	-6.37527584098e-05	-6.37527584098e-05	-6.37527584098e-05	-2.41882062815e-06	100	1.97727586129e-08	4.64423571729e-06	4.24677043222e-06	-1395.47194653	-45887.4306529	79487.8899938	-44937.3361662	-46392.1476797	-46332.8081128	0	6.4398757752e-05	0.000369771362577	nan
nan	5.5860935144e-05	0.000223075085916	-0.000128792460903	-0.000128792460903	-0.000128792460903	-4.99954433993e-06	200	9.27445148111e-09	4.67871966928e-06	4.42885566079e-06	-1457.13121039	-47166.458654	81703.9033093	-46166.5585665	-47709.1276187	-47623.6897769	0	0.000129438229401	0.00016602750128	nan
nan	5.84442443681e-05	0.00033644724728	-0.000194247908785	-0.000194247908785	-0.000194247908785	-7.67170461872e-06	300	5.56747842307e-09	4.69578280076e-06	4.51151363875e-06	-1509.03209748	-48525.4194311	84058.0272617	-47492.705221	-49081.8157537	-49001.7373185	0	0.000194900029391	9.5261363771e-05	nan
nan	6.11407784901e-05	0.000449118163689	-0.000259699153254	-0.000258495308572	-0.000259699153254	-1.0400789444e-05	400	2.51473291461e-09	4.70462289886e-06	4.54720714837e-06	-1557.77164597	-49932.8674693	86496.0672567	-48870.3846603	-50500.0614412	-50428.1563063	0	0.000260366110711	4.11302076407e-05	nan
nan	6.2677307365e-05	0.000517134002117	-0.000325146679604	-0.000236615404467	-0.000325146679604	-1.19353998742e-05	500	2.26818653608e-09	4.70711433535e-06	4.56274946483e-06	-1595.73440725	-50724.7726886	87865.3108312	-49853.9096132	-50870.7644322	-51449.6440204	0	0.000325832753941	3.61883212831e-05	nan
nan	6.34694718673e-05	0.000572604874704	-0.000382125417541	-0.000171163155186	-0.000390588891433	-1.27619518373e-05	600	2.01999162454e-09	4.70949969052e-06	4.60325562095e-06	-1687.89417577	-51102.6946146	88522.1614226	-50479.4958504	-50661.1979672	-52167.3900261	0	0.000391298382712	3.18261924215e-05	nan
nan	6.32170745005e-05	0.000594152788064	-0.000365902695066	-0.000105708900158	-0.000456024540716	-1.25558453349e-05	700	1.88127321689e-09	4.71145461542e-06	4.65936600491e-06	-2254.48476289	-50942.0484289	88254.4740136	-50229.9241512	-50111.8122215	-52484.408914	0	0.000456761744467	2.97589414214e-05	nan
nan	6.31649024606e-05	0.000622899906778	-0.000333490861708	-6.98206672423e-05	-0.000521452982969	-1.25794793372e-05	800	1.48657809089e-09	4.7135140007e-06	4.71982755611e-06	-2901.84009914	-50878.2889466	88156.6794998	-49941.9794384	-49849.0678638	-52843.8195375	0	0.000522222187621	2.35348751122e-05	nan
nan	6.43729742206e-05	0.000681031944962	-0.000334657084611	-8.59475029247e-05	-0.000586874920677	-1.38156532459e-05	900	1.12806873921e-09	4.71456556318e-06	4.74978431594e-06	-3351.20210466	-51474.2504082	89197.5598831	-50345.4653012	-50380.6185175	-53696.6674059	0	0.00058768040074	1.75239493415e-05	nan
nan	6.44971548865e-05	0.00072215803314	-0.000304133324431	-5.94159439548e-05	-0.000652292029235	-1.39903920232e-05	1000	1.14950318308e-09	4.71550558605e-06	4.81304988053e-06	-3953.39014527	-51506.5572511	89269.0423307	-50158.4786811	-50249.3242458	-54111.8688264	0	0.000653138049858	1.78225409339e-05	nan
nan	6.43740799285e-05	0.00076894177519	-0.000275557891889	-1.55460720931e-05	-0.000717703017614	-1.39797008109e-05	1100	1.02583599149e-09	4.71682055336e-06	4.91406364667e-06	-4484.12387848	-51396.8951785	89096.7148872	-49890.6341914	-49925.2932742	-54374.7580699	0	0.000718593872313	1.59355441293e-05	nan
nan	6.54861915739e-05	0.000834867806851	-0.000289140639327	-1.19957112601e-05	-0.000783107941804	-1.51434383037e-05	1200	9.08783462195e-10	4.71755452611e-06	4.96405598463e-06	-4820.0710307	-51927.0035293	90027.1056671	-50335.7196878	-50289.5001817	-55155.7907185	0	0.000784047910019	1.38774822654e-05	nan
nan	6.57486934234e-05	0.000889672638327	-0.000267177942961	1.29667475888e-05	-0.000848507639117	-1.54906399334e-05	1300	9.39768791892e-10	4.71857479244e-06	5.06098749636e-06	-5313.76983755	-52020.7880663	90207.526181	-50257.6342455	-50233.3258702	-55571.4040831	0	0.000849500992546	1.42933455094e-05	nan
nan	6.55184017923e-05	0.000943310741938	-0.000227936669701	5.16187852362e-05	-0.00091390127009	-1.54248165078e-05	1400	8.26280319921e-10	4.72005470362e-06	5.21739043957e-06	-5841.07078261	-51851.6113207	89935.3316757	-49891.6347957	-49930.493588	-55732.7055783	0	0.000914952295982	1.26114236202e-05	nan
nan	6.65502006289e-05	0.0010079882289	-0.000232935352641	5.26902912337e-05	-0.000979288070131	-1.65288351092e-05	1500	7.03325746921e-10	4.72080743757e-06	5.28502874593e-06	-6201.8859659	-52328.251617	90775.8977189	-50251.5286651	-50279.8115547	-56453.414631	0	0.000980401053605	1.05683490098e-05	nan
nan	6.69382706158e-05	0.00106992504278	-0.000218228763101	7.60391597583e-05	-0.00104466925403	-1.70277196189e-05	1600	8.32145041507e-10	4.72159903975e-06	5.40735990607e-06	-6612.14715572	-52476.6111466	91051.9130079	-50266.4743892	-50284.7375058	-56878.6215449	0	0.00104584846088	1.24315288377e-05	nan
nan	6.66383364405e-05	0.00113194746635	-0.000184819455902	0.000122265413228	-0.00111004414508	-1.69569313242e-05	1700	9.44110900734e-10	4.72306782057e-06	5.63126397082e-06	-7025.02475273	-52263.6231833	90704.4126629	-49917.0199934	-49931.8048105	-56942.0447461	0	0.00111129385874	1.41676841164e-05	nan
nan	6.75629967492e-05	0.00119769181757	-0.000190023683379	0.000129473833019	-0.00117541193468	-1.80005330622e-05	1800	6.10202234795e-10	4.72403041488e-06	5.74292956283e-06	-7346.78038725	-52674.5219829	91432.4264683	-50231.6615187	-50213.462524	-57578.4419059	0	0.00117673643828	9.03160404592e-06	nan
nan	6.81017471544e-05	0.00126185433232	-0.000177227597317	0.000146103016355	-0.00124077421127	-1.86443332632e-05	1900	6.98978507849e-10	4.72476361446e-06	5.85940941151e-06	-7745.63558738	-52895.8730498	91836.5442989	-50316.1958982	-50309.5917656	-58061.8314856	0	0.00124217776507	1.02637382601e-05	nan
nan	6.77381956715e-05	0.00132688042731	-0.000136621326394	0.000189657150304	-0.00130613033304	-1.85265458116e-05	2000	7.85182273622e-10	4.726116724e-06	6.10355616541e-06	-8153.67150124	-52657.1846766	91446.6151538	-49928.4926746	-49960.8971795	-58082.1641758	0	0.00130761721828	1.15914258689e-05	nan
nan	6.85231953951e-05	0.00139254115224	-0.0001348227782	0.000200093520399	-0.00137147958871	-1.9447982336e-05	2100	5.44814700816e-10	4.72704667335e-06	6.22958181643e-06	-8487.43808089	-52991.7062936	92045.0503691	-50156.8986028	-50173.8835942	-58644.3366837	0	0.00137305408569	7.95080698842e-06	nan
nan	6.92144041356e-05	0.00145833227707	-0.000128926663986	0.000213657782547	-0.00143682333556	-2.02554376006e-05	2200	6.5562033249e-10	4.72774764816e-06	6.35614005015e-06	-8835.16271136	-53281.9221014	92568.3667882	-50335.3274502	-50339.9486926	-59170.4901615	0	0.00143848970502	9.47231057866e-06	nan
nan	6.88495319783e-05	0.00152709600753	-9.1419810451e-05	0.00025918395511	-0.00150216121368	-2.01697593746e-05	2300	7.87709076807e-10	4.72918672076e-06	6.63722037699e-06	-9183.94791583	-53046.6830176	92184.6629233	-49981.5735537	-49992.9540296	-59165.5214695	0	0.00150392373252	1.14410229696e-05	nan
nan	6.9422961638e-05	0.00159388218506	-8.35072611829e-05	0.000276498854285	-0.00156749333037	-2.09271341095e-05	2400	5.06851282358e-10	4.73037015903e-06	6.80873666804e-06	-9494.24336975	-53271.0589938	92593.391602	-50107.6387133	-50103.6561849	-59601.8820831	0	0.00156935627037	7.30091702225e-06	nan
