#state sig_x sig_y sig_z eps_x eps_y eps_z void
-1 0.01 0.01 0.01 0 0 0 0.707213
0 -50124.6 -50124.6 -63021.5 0.000147622 0.000625377 -0.00249688 0.704266
1 -50124.6 -50124.6 -68052.8 0.000801236 0.00154812 -0.00498752 0.702691
2 -50124.6 -50124.6 -71748.6 0.00230188 0.00342574 -0.00995017 0.69992
3 -50124.6 -50124.6 -77193 0.00534113 0.00770721 -0.0198013 0.695312
4 -50124.6 -50124.6 -81087.6 0.00846097 0.0117584 -0.0295545 0.69042
5 -50124.6 -50124.6 -86354.9 0.0124506 0.0161311 -0.0392106 0.687483
6 -50124.6 -50124.6 -87805.4 0.0168489 0.0201798 -0.0487706 0.684636
7 -50124.6 -50124.6 -89457.8 0.0211694 0.0247329 -0.0582355 0.682436
8 -50124.7 -50124.6 -89097.8 0.0257155 0.0292436 -0.0676062 0.680475
9 -50124.6 -50124.6 -92019.6 0.0306211 0.033954 -0.0768837 0.679362
10 -50124.6 -50124.6 -94632.5 0.0355267 0.0390464 -0.0860688 0.678794
11 -50124.6 -50124.6 -96755.6 0.0408593 0.0441037 -0.0951626 0.67878
12 -50124.7 -50124.7 -50124.7 0.0346488 0.0373263 -0.0867835 0.673284
